ZipCodeStart,ZipCodeEnd,PolygonName,WeightStart,WeightEnd,AbsoluteMoneyCost,PricePercent,PriceByExtraWeight,MaxVolume,TimeCost,Country,MinimumValueInsurance
69900000,69924999,,0.000000,500.000000,22.850000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,501.000000,1000.000000,27.620000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,1001.000000,1500.000000,39.770000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,1501.000000,2000.000000,39.770000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,2001.000000,3000.000000,50.530000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,3001.000000,4000.000000,61.300000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,4001.000000,5000.000000,69.200000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,5001.000000,6000.000000,79.540000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,6001.000000,7000.000000,89.880000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,7001.000000,8000.000000,100.210000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,8001.000000,9000.000000,110.550000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,9001.000000,10000.000000,120.870000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
69900000,69924999,,10001.000000,11000.000000,131.210000,0.000000,0.000000,100000000.000000,5.00:00:00,BRA,0.000000
